Date,Close/Last,Volume,Open,High,Low
10/08/2024,$182.72,26372090,$181.915,$183.09,$180.92
10/07/2024,$180.80,42364200,$182.95,$183.60,$180.25
10/04/2024,$186.51,41079010,$185.75,$187.60,$183.60
10/03/2024,$181.96,30204300,$183.045,$183.44,$180.875
10/02/2024,$184.76,23704060,$184.44,$186.60,$184.04
10/01/2024,$185.13,36044910,$184.90,$186.19,$183.4519
09/30/2024,$186.33,41680400,$187.14,$188.49,$184.65
09/27/2024,$187.97,36002320,$190.68,$190.90,$187.34
09/26/2024,$191.16,36334850,$194.31,$194.53,$189.54
09/25/2024,$192.53,26391140,$193.75,$193.9498,$192.16
09/24/2024,$193.96,43478930,$194.27,$195.37,$190.13
09/23/2024,$193.88,36993110,$191.64,$194.45,$190.57
09/20/2024,$191.60,100378600,$190.23,$191.84,$187.41
09/19/2024,$189.87,39543170,$190.04,$190.99,$188.47
09/18/2024,$186.43,34448130,$186.45,$188.80,$185.06
09/17/2024,$186.88,26091680,$186.85,$189.45,$186.14
09/16/2024,$184.89,26065490,$185.29,$185.81,$183.36
09/13/2024,$186.49,26495350,$187.00,$188.50,$185.91
09/12/2024,$187.00,33622480,$184.80,$187.41,$183.54
09/11/2024,$184.52,42564700,$180.095,$184.99,$175.73
09/10/2024,$179.55,36233800,$177.49,$180.50,$176.79
09/09/2024,$175.40,29037360,$174.53,$175.85,$173.51
09/06/2024,$171.39,41466540,$177.24,$178.38,$171.16
09/05/2024,$177.89,40170530,$175.00,$179.875,$174.995
09/04/2024,$173.33,30309230,$174.48,$175.98,$172.54
09/03/2024,$176.25,37817510,$177.55,$178.26,$175.26
08/30/2024,$178.50,43429360,$172.78,$178.90,$172.60
08/29/2024,$172.12,26407820,$173.22,$174.29,$170.81
08/28/2024,$170.80,29045030,$173.69,$173.69,$168.92
08/27/2024,$173.12,29841980,$174.15,$174.89,$172.25
08/26/2024,$175.50,22366240,$176.70,$177.4682,$174.30
08/23/2024,$177.04,29150090,$177.34,$178.9699,$175.24
08/22/2024,$176.13,32047480,$181.38,$181.47,$175.68
08/21/2024,$180.11,35599120,$179.92,$182.385,$178.8937
08/20/2024,$178.88,26255200,$177.92,$179.01,$177.4308
08/19/2024,$178.22,31129810,$177.64,$178.30,$176.16
08/16/2024,$177.06,31489180,$177.04,$178.34,$176.2601
08/15/2024,$177.59,51698510,$174.86,$177.91,$173.99
08/14/2024,$170.10,28843800,$172.11,$172.28,$168.86
08/13/2024,$170.23,39237920,$167.81,$171.04,$167.10
08/12/2024,$166.80,30072790,$168.14,$168.55,$166.1101
08/09/2024,$166.94,36401050,$166.40,$168.55,$165.85
08/08/2024,$165.80,44616210,$165.165,$166.6899,$162.55
08/07/2024,$162.77,48408240,$166.55,$167.58,$161.43
08/06/2024,$161.93,59950830,$161.71,$165.08,$158.5404
08/05/2024,$161.02,83149440,$154.21,$162.96,$151.61
08/02/2024,$167.90,141448400,$166.75,$168.77,$160.55
08/01/2024,$184.07,70435640,$189.285,$190.60,$181.87
07/31/2024,$186.98,41667330,$185.05,$187.94,$184.46
07/30/2024,$181.71,39508570,$184.72,$185.86,$179.38
07/29/2024,$183.20,33270120,$183.84,$184.75,$182.38
07/26/2024,$182.50,29505960,$180.39,$183.19,$180.24
07/25/2024,$179.85,44464160,$182.91,$183.8958,$176.80
07/24/2024,$180.83,41532360,$183.20,$185.45,$180.41
07/23/2024,$186.41,47537670,$184.10,$189.39,$183.56
07/22/2024,$182.55,39931920,$185.00,$185.06,$182.48
07/19/2024,$183.13,43081830,$181.14,$184.93,$180.11
07/18/2024,$183.75,51043630,$189.59,$189.68,$181.448
07/17/2024,$187.93,48076140,$191.35,$191.58,$185.99
07/16/2024,$193.02,33994710,$195.59,$196.62,$192.24
07/15/2024,$192.72,40683230,$194.56,$196.19,$190.83
07/12/2024,$194.49,30598530,$194.80,$196.47,$193.8301
07/11/2024,$195.05,44565040,$200.09,$200.2699,$192.86
07/10/2024,$199.79,32883750,$199.995,$200.11,$197.69
07/09/2024,$199.34,32756740,$199.40,$200.57,$199.045
07/08/2024,$199.29,34767260,$200.04,$201.20,$197.96
07/05/2024,$200.00,39858890,$198.65,$200.55,$198.17
07/03/2024,$197.59,31597930,$199.94,$200.029,$196.7601
07/02/2024,$200.00,45600010,$197.28,$200.43,$195.93
07/01/2024,$197.20,41192010,$193.49,$198.2957,$192.82
06/28/2024,$193.25,76930190,$197.73,$198.85,$192.50
06/27/2024,$197.85,74397490,$195.005,$199.84,$194.20
06/26/2024,$193.61,65103890,$186.92,$194.80,$186.26
06/25/2024,$186.34,45898480,$186.81,$188.84,$185.42
06/24/2024,$185.57,50610380,$189.33,$191.00,$185.33
06/21/2024,$189.08,72931750,$187.80,$189.275,$185.86
06/20/2024,$186.10,44726780,$182.91,$186.51,$182.72
06/18/2024,$182.81,36659160,$183.735,$184.29,$181.43
06/17/2024,$184.06,35601910,$182.52,$185.00,$181.22
06/14/2024,$183.66,25456410,$183.08,$183.72,$182.23
06/13/2024,$183.83,39721550,$186.09,$187.67,$182.666
06/12/2024,$186.89,33984220,$188.015,$188.35,$185.43
06/11/2024,$187.23,27265110,$187.06,$187.77,$184.5373
06/10/2024,$187.06,34494500,$184.07,$187.23,$183.79
06/07/2024,$184.30,28021470,$184.90,$186.2888,$183.36
06/06/2024,$185.00,31371150,$181.745,$185.00,$181.49
06/05/2024,$181.28,32116390,$180.10,$181.50,$178.75
06/04/2024,$179.34,27198390,$177.64,$179.82,$176.44
06/03/2024,$178.34,30786640,$177.70,$178.70,$175.92
05/31/2024,$176.44,58903940,$178.30,$179.21,$173.87
05/30/2024,$179.32,29249230,$181.31,$181.34,$178.355
05/29/2024,$182.02,32009290,$181.70,$184.08,$181.55
05/28/2024,$182.15,29926960,$179.93,$182.24,$179.49
05/24/2024,$180.75,27471640,$181.65,$182.435,$180.30
05/23/2024,$181.05,33670170,$183.66,$184.76,$180.08
05/22/2024,$183.13,28148780,$183.88,$185.22,$181.9715
05/21/2024,$183.15,50839130,$182.30,$183.26,$180.75
05/20/2024,$183.54,30511770,$184.34,$186.665,$183.28
05/17/2024,$184.70,33175660,$183.76,$185.30,$183.35
05/16/2024,$183.63,38834450,$185.60,$187.31,$183.46
05/15/2024,$185.99,75459930,$185.97,$186.7193,$182.73
05/14/2024,$187.07,38698160,$183.82,$187.72,$183.45
05/13/2024,$186.57,24898610,$188.00,$188.31,$185.36
05/10/2024,$187.48,34141770,$189.16,$189.892,$186.93
05/09/2024,$189.50,43368380,$188.88,$191.70,$187.44
05/08/2024,$188.00,26136350,$187.44,$188.43,$186.385
05/07/2024,$188.76,34048900,$188.92,$189.94,$187.305
05/06/2024,$188.70,34725300,$186.28,$188.745,$184.80
05/03/2024,$186.21,39172000,$186.99,$187.87,$185.42
05/02/2024,$184.72,54303510,$180.85,$185.10,$179.91
05/01/2024,$179.00,94645150,$181.635,$185.15,$176.56
04/30/2024,$175.00,94639790,$181.09,$182.99,$174.80
04/29/2024,$180.96,54063940,$182.75,$183.53,$179.39
04/26/2024,$179.62,43919770,$177.795,$180.82,$176.13
04/25/2024,$173.67,49249390,$169.68,$173.92,$166.32
04/24/2024,$176.59,34185110,$179.94,$180.323,$176.18
04/23/2024,$179.54,37046520,$178.08,$179.93,$175.975
04/22/2024,$177.23,37924890,$176.94,$178.87,$174.56
04/19/2024,$174.63,56000730,$178.74,$179.00,$173.44
04/18/2024,$179.22,30723790,$181.47,$182.39,$178.65
04/17/2024,$181.28,31359670,$184.31,$184.57,$179.82
04/16/2024,$183.32,32891270,$183.27,$184.83,$182.26
04/15/2024,$183.62,48052400,$187.425,$188.69,$183.00
04/12/2024,$186.13,38608850,$187.72,$188.38,$185.08
04/11/2024,$189.05,40020740,$186.74,$189.77,$185.51
04/10/2024,$185.95,35879150,$182.765,$186.2699,$182.67
04/09/2024,$185.67,36546950,$187.24,$187.34,$184.20
04/08/2024,$185.19,39221280,$186.90,$187.29,$184.81
04/05/2024,$185.07,42373990,$182.38,$186.27,$181.97
04/04/2024,$180.00,41624260,$184.00,$185.10,$180.00
04/03/2024,$182.41,31046640,$179.90,$182.87,$179.80
04/02/2024,$180.69,32611550,$179.07,$180.79,$178.3762
04/01/2024,$180.97,29174520,$180.79,$183.00,$179.95
03/28/2024,$180.38,38051590,$180.17,$181.70,$179.26
03/27/2024,$179.83,33272550,$179.88,$180.00,$177.3099
03/26/2024,$178.30,29658980,$180.15,$180.45,$177.95
03/25/2024,$179.71,29815460,$178.01,$180.99,$177.24
03/22/2024,$178.87,27995380,$177.752,$179.255,$176.75
03/21/2024,$178.15,32824320,$179.988,$181.415,$178.15
03/20/2024,$178.15,29947150,$176.14,$178.53,$174.64
03/19/2024,$175.90,26880890,$174.215,$176.09,$173.52
03/18/2024,$174.48,31250690,$175.80,$176.69,$174.28
03/15/2024,$174.42,72147390,$176.64,$177.93,$173.90
03/14/2024,$178.75,43705840,$177.69,$179.53,$176.465
03/13/2024,$176.555,30772600,$175.90,$177.62,$175.55
03/12/2024,$175.39,36610600,$173.50,$176.76,$171.98
03/11/2024,$171.96,28484780,$174.31,$174.47,$171.47
03/08/2024,$175.35,37893240,$176.44,$178.785,$174.33
03/07/2024,$176.82,34063280,$174.83,$177.99,$173.72
03/06/2024,$173.51,32090930,$175.54,$176.46,$173.26
03/05/2024,$174.12,37228340,$176.93,$176.93,$173.303
03/04/2024,$177.58,37381520,$177.53,$180.14,$177.49
03/01/2024,$178.22,31981150,$176.75,$178.725,$176.07
02/29/2024,$176.76,53805360,$173.01,$177.22,$172.85
02/28/2024,$173.16,28180480,$172.44,$174.05,$172.27
02/27/2024,$173.54,31141730,$174.075,$174.62,$172.86
02/26/2024,$174.73,44368610,$175.70,$176.37,$174.26
